"";"pathway";"pval";"padj";"ES";"NES";"nMoreExtreme";"size";"leadingEdge"
"1";"HALLMARK_MYC_TARGETS_V1";0,00122850122850123;0,0106928999144568;0,704165069984579;2,31352415649905;0;200;"CDC20,ODC1,NME1,MYC,RPLP0,RPS2,GNL3,IMPDH2,PABPC1,PRDX4,GLO1,KPNA2,HSPD1,DDX21,SRM,CBX3,AIMP2,RPL6,APEX1,CCT3,NPM1,LDHA,NHP2,MAD2L1,CCT2,CDC45,CCNA2,EIF4A1,XPOT,PPIA,POLD2,EPRS1,C1QBP,RACK1,CANX,NOP56,RPS6,HSPE1,RPS5,RAN,NOP16,RPS3,VBP1,COX5A,IFRD1,SMARCC1,SNRPG,CYC1,YWHAQ,EIF3B,RRP9,ILF2,RPS10,LSM7,RPL14,RPL34,YWHAE,SRPK1,RAD23B,EIF3J,SSBP1,RSL1D1,EIF2S2,PABPC4,PHB2,CAD,TXNL4A,SRSF7,NDUFAB1,G3BP1,EEF1B2,SNRPA1,RPL18,GSPT1,IARS1,TCP1,MCM2,NOLC1,VDAC1,CCT5,SET,MCM7,SERBP1,PA2G4,SNRPD2,POLE3,HSP90AB1,PSMA2,PSMA4,CDK4,PSMD3,ABCE1,PPM1G,PSMA6,MRPL23,HPRT1,SLC25A3,RPL22,PSMB3,MCM4,ACP1,HNRNPC,CCT7,HNRNPA2B1,PSMA1,MRPL9,HDAC2,EIF4E,TUFM,TOMM70,RANBP1,KPNB1,STARD7,NCBP2,DHX15,PSMA7,SNRPD1,SNRPD3,RUVBL2,PSMD14,HNRNPA1,CLNS1A,MRPS18B,SNRPB2,TRIM28,FAM120A,HDGF,PCNA,SNRPA,EIF3D,DUT,BUB3,PTGES3,COPS5,UBA2,ERH,PSMC4,UBE2E1,NAP1L1,FBL,CCT4,TRA2B,HNRNPD,PSMC6,SRSF1,PSMD8,PRDX3,KARS1"
"2";"HALLMARK_E2F_TARGETS";0,00122850122850123;0,0106928999144568;0,630768097266425;2,07237946381915;0;200;"MKI67,HMMR,CDC20,DLGAP5,TK1,RRM2,TOP2A,KIF4A,CDK1,TRIP13,MYBL2,CDKN3,BIRC5,CDKN2A,NME1,MYC,KIF18B,EZH2,AURKB,CDCA8,CENPE,ASF1B,BUB1B,ESPL1,LMNB1,PAICS,DIAPH3,SPC24,RACGAP1,PRDX4,SPAG5,STMN1,KPNA2,PTTG1,E2F8,MAD2L1,CENPM,MTHFD2,POLD2,PLK1,CIT,UBE2T,TIMELESS,NOP56,RAD51AP1,CKS2,MELK,RAN,LYAR,CHEK1,HMGB3,MSH2,DSCC1,ORC6,DEPDC1,MXD3,AURKA,POP7,CCNB2,SPC25,NBN,GSPT1,MCM2,NOLC1,DCTPP1,UNG,MCM7,TACC3,AK2,PA2G4,SLBP,KIF2C,RNASEH2A,TP53,PMS2,H2AX,SNRPB,CDK4,MCM4,SSRP1,RANBP1,CNOT9,GINS1,CCNE1,RPA3,DDX39A,HUS1,TFRC,PCNA,CDC25A,UBE2S,WDR90,DUT,POLE4,IPO7,RFC2,JPT1,ING3,CHEK2,CSE1L,NAP1L1,PNN,NAA38,PRKDC,TBRG4,TRA2B,HNRNPD,DCLRE1B,DNMT1,SRSF1"
"3";"HALLMARK_G2M_CHECKPOINT";0,00122850122850123;0,0106928999144568;0,598672042589577;1,96692834022844;0;200;"TPX2,MKI67,NEK2,CENPF,PBK,HMMR,CDC20,EXO1,TOP2A,CENPA,KIF4A,CDK1,UBE2C,ODC1,BUB1,MYBL2,CDKN3,BIRC5,NUSAP1,TROAP,STIL,MYC,UCK2,EZH2,AURKB,CENPE,KNL1,KIF11,ESPL1,LMNB1,POLQ,EGF,RACGAP1,SLC7A1,ATF5,STMN1,KPNA2,PTTG1,PRC1,MAD2L1,CDC45,TTK,CCNA2,PLK1,HSPA8,DBF4,CDC6,CKS2,RAD54L,CHEK1,E2F3,HMGB3,LIG3,SMARCC1,DKC1,ORC5,E2F2,ORC6,RAD23B,NCL,AURKA,NSD2,SLC12A2,CCNB2,G3BP1,GSPT1,MCM2,NOLC1,TACC3,KIF2C,AMD1,SAP30,TRAIP,H2AX,TOP1,CDK4,SMC2,PRMT5,DTYMK,H2BC12,KPNB1,KIF15"
"4";"HALLMARK_MYC_TARGETS_V2";0,00149700598802395;0,0106928999144568;0,677674695378119;1,90405257754767;0;58;"MYC,IPO4,GNL3,TMEM97,HSPD1,SRM,CBX3,AIMP2,NPM1,PLK1,HK2,EXOSC5,TFB2M,NOP56,HSPE1,NOP16,SLC19A1,PPAN,NOP2,RRP9,MRTO4,FARSA,PUS1,WDR74,SLC29A2,NIP7,WDR43,NOLC1,DCTPP1,UNG,PA2G4,RRP12,CDK4,MCM4,PES1,MPHOSPH10,NOC4L"
"5";"HALLMARK_UNFOLDED_PROTEIN_RESPONSE";0,00133868808567604;0,0106928999144568;0,574281444903145;1,76349856421145;0;113;"TUBB2A,PDIA5,EIF4EBP1,SRPRB,PSAT1,HYOU1,ASNS,EEF2,SERP1,EXOSC4,NPM1,NHP2,HSP90B1,EIF4A1,XPOT,MTHFD2,XBP1,EXOSC5,CALR,PDIA6,NOP56,ALDH18A1,HSPA5,TARS1,DKC1,RRP9,YIF1A,RPS14,HSPA9,EIF4A3,SLC30A5,IARS1,NOLC1,EIF4G1,SEC11A,EIF2AK3,DNAJB9,CNOT6,LSM4,H2AX,DDX10,WIPI1,NOP14,YWHAZ,EIF4E,SPCS1,DNAJC3,EDEM1,GEMIN4,NFYA,ARFGAP1,ATF4,KDELR3,SRPRA,EXOSC2,DNAJA4,SSR1,SPCS3,EIF4A2"
"6";"HALLMARK_OXIDATIVE_PHOSPHORYLATION";0,00122850122850123;0,0106928999144568;0,516664504085149;1,69749375815073;0;200;"CYB5A,SLC25A6,PDP1,ATP6V1G1,MDH2,SLC25A5,LDHA,TIMM13,NDUFV2,TIMM17A,AIFM1,MRPS12,ECHS1,ATP5MC1,MRPL15,UQCRH,UQCRQ,ATP5MC2,COX5A,MTRR,CYC1,ATP5F1B,NDUFA7,MTX2,NDUFB4,ACAT1,ATP6V0B,ATP5ME,COX7A2,GPI,HSPA9,UQCRB,PHB2,NDUFAB1,TIMM10,HSD17B10,NDUFB1,PMPCA,CYCS,VDAC1,ATP5MC3,BAX,ACADSB,ALDH6A1,GRPEL1,TIMM8B,NDUFS6,NDUFA2,NDUFB2,ATP5PD,TOMM22,NDUFC1,ACADM,FH,NDUFB3,COX7B,COX7C,COX6A1,SLC25A3,ATP6V1F,NDUFA1,COX7A2L,UQCR11,ATP5F1D,CS,MRPS15,TOMM70,ATP6V1C1,LRPPRC,NDUFA8,NDUFB5,UQCRFS1,COX17,ATP5F1E,OXA1L,UQCR10,UQCRC1,ATP6AP1,ETFA,ATP5MF,HCCS,NDUFA3,COX8A,NDUFC2,ECI1,MRPS30,DLAT,ISCA1,SDHB,COX5B,TIMM9,PDHB,NDUFB7,COX6B1,DECR1,HADHB,ATP5MG,ETFB,TIMM50,ATP5F1C,NDUFA5,PRDX3,GLUD1,SDHC,GPX4,ATP5PO,RHOT2,POR,VDAC2,NDUFS8,PHYH,MRPS11,SUPV3L1,IDH1,IMMT"
"7";"HALLMARK_MTORC1_SIGNALING";0,00122850122850123;0,0106928999144568;0,49505383850145;1,62649222882607;0;200;"TRIB3,RRM2,SLC7A11,BUB1,SHMT2,EEF1E1,TMEM97,PSAT1,ACACA,ASNS,SERP1,HSPD1,MTHFD2L,ELOVL6,NUPR1,LDHA,HSP90B1,HMBS,MTHFD2,PPIA,EPRS1,PNP,PLK1,XBP1,HK2,ACSL3,CALR,CANX,ATP5MC1,ACLY,HSPE1,CCT6A,HSPA5,UCHL5,SYTL2,TM7SF2,DHFR,SDF2L1,SKAP2,IFRD1,ARPC5L,PSMB5,CCNG1,DHCR24,RRP9,ENO1,RPN1,GSK3B,ELOVL5,EIF2S2,GPI,HSPA9,PPA1,SRD5A1,AURKA,VLDLR,SCD,MCM2,UNG,PNO1,SEC11A,PSME3,QDPR,PDK1,PIK3R3,PSMA4,IFI30,HPRT1,MCM4,STIP1,PSMD13,RDH11,TCEA1,PSMD12,GBE1,EDEM1,PSMD14,TPI1,DDX39A,MAP2K3,TFRC,CDC25A"
"8";"HALLMARK_ANDROGEN_RESPONSE";0,00934579439252336;0,0233644859813084;0,51787100715401;1,57792974103243;6;100;"CAMKK2,STEAP4,ABCC4,GUCY1A1,CENPN,PDLIM5,UAP1,SLC26A2,SPDEF,IQGAP2,STK39,ZBTB10,BMPR1B,SMS,TPD52,KLK3,ALDH1A3,PLPP1,KLK2,SAT1,MAP7,ABHD2,ACSL3,PGM3,KRT8,DHCR24,ELOVL5,UBE2J1,PMEPA1,NGLY1,HOMER2,SCD,HSD17B14,DNAJB9,PA2G4,RRP12,LMAN1,SEC24D,NKX3-1"
"9";"HALLMARK_DNA_REPAIR";0,00259403372243839;0,0139977603583427;0,462955297072186;1,46672012701722;1;150;"NME1,BCAM,CANT1,MPC2,ZWINT,IMPDH2,POLB,SEC61A1,APRT,POLR2H,PNP,SAC3D1,BOLA2,UMPS,SRSF6,POLR1C,TAF9,TMED2,TARBP2,CCNO,ITPA,NUDT9,NME3,POLR1D,FEN1,ARL6IP1,MRPL40,NME4,TP53,EDF1,SNAPC4,SDCBP,GTF2A2,CSTF3,POLR2D,HPRT1,SSRP1,DAD1,RRM2B,NCBP2,NELFCD,COX17,RAD51,POLD4,MPG,RPA3,ERCC2,RALA,ZNRD1,PCNA,DUT,VPS28,POLE4,POM121,ALYREF,ADCY6,RFC2,GTF2H3,VPS37B,NELFB,PDE6G,NELFE,GPX4,POLR2I,POLR2K,GUK1,STX3,TYMS,TAF12,UPF3B,GTF2H1,SMAD5,RBX1,ADRM1,POLD1,ERCC1"
"10";"HALLMARK_FATTY_ACID_METABOLISM";0,0396419437340153;0,0734110069148432;0,412034114774033;1,31842201596296;30;158;"TDO2,FASN,ODC1,ACSM3,UGDH,CBR3,ACSS1,ACSL5,BMPR1B,SMS,BPHL,MDH2,ECI2,APEX1,OSTC,LDHA,MAOA,HSD17B4,HSD17B11,MIF,ECHS1,PCBD1,DHCR24,NTHL1,AADAT,ELOVL5,CPT2,ACSL1,CCDC58,ALDH1A1,ADSL,HSD17B10,CPOX,NBN,PTS,REEP6,CA2,GSTZ1,VNN1,CRAT,ACADM,FH"
"11";"HALLMARK_PANCREAS_BETA_CELLS";0,12037037037037;0,171957671957672;0,490148705289483;1,30405632065805;77;40;"INSM1,NKX2-2,IAPP,NKX6-1,SRPRB,SYT13,CHGA,GCG,SEC11A,PDX1,DCX,SCGN,SPCS1,SRP9"
"12";"HALLMARK_CHOLESTEROL_HOMEOSTASIS";0,110294117647059;0,16219723183391;0,43724250224617;1,27327075924863;74;74;"FABP5,TRIB3,GLDC,TP53INP1,FASN,MAL2,LPL,GNAI1,CBS,ALCAM,TMEM97,ATF5,GUSB,ABCA2,ACTG1,TM7SF2,ERRFI1,CHKA,SCD,ANXA5"
"13";"HALLMARK_SPERMATOGENESIS";0,0711462450592885;0,111166007905138;0,404985454161354;1,26600474375877;53;134;"ADAM2,ACRV1,ALOX15,NEK2,CDK1,BUB1,NCAPH,CDKN3,TCP11,EZH2,GAD1,H1-6,TTK,OAZ3,THEG,MAP7,DBF4,ART3,SNAP91,PACRG,AURKA,SLC12A2,CCNB2,MTOR,STRBP,GMCL1,PIAS2,KIF2C,TALDO1,ACRBP,TNP2,HTR5A,TOPBP1,CNIH2,SCG3,MEP1B,PGK2,CLGN,PHKG2,DDX25,ACTL7B,CRISP2,GRM8,CLPB,DMRT1,RAD17,MLF1"
"14";"HALLMARK_GLYCOLYSIS";0,0566502463054187;0,0913713650087399;0,383965212763103;1,26037041961746;45;199;"B3GAT1,FBP2,TFF3,HMMR,CENPA,CDK1,SLC25A10,KIF20A,CLDN3,DSC2,TXN,CYB5A,TSTA3,LHX9,STMN1,MDH2,BIK,GUSB,SRD5A3,LDHA,GFPT1,PPIA,SOX9,B3GALT6,MIF,HK2,PFKFB1,SLC25A13,COPB2,HS2ST1,PMM2,IDUA,AKR1A1,HOMER1,HSPA5,ENO1,GMPPB,LCT,DEPDC1,PGLS,AURKA,VLDLR,AGRN,PAXIP1,CASP6,SLC35A3,POLR3K,HDLBP,BPNT1,SAP30,ABCB6,TALDO1,CHPF2,ANKZF1,GNE,RBCK1,ALG1,ELF3,PGM2,RARS1,TPI1,GMPPA,CLDN9,IL13RA1,B3GAT3,KDELR3,MPI"
"15";"HALLMARK_MITOTIC_SPINDLE";0,0849753694581281;0,128750559785043;0,372015707427506;1,22114602492382;68;199;"TPX2,NEK2,CENPF,DLGAP5,TOP2A,KIF4A,CDK1,BUB1,BIRC5,NUSAP1,ECT2,PDLIM5,CENPE,KIF11,ESPL1,LMNB1,RACGAP1,ARFIP2,PRC1,DOCK4,TTK,PLK1,CYTH2,ARF6,NET1,SAC3D1,EPB41,CD2AP,ANLN,TLK1,RAPGEF5,YWHAE,AURKA,ARHGAP29,RALBP1,CCNB2,NCK1,PXN"
"16";"HALLMARK_PI3K_AKT_MTOR_SIGNALING";0,171581769436997;0,231056864681812;0,389074567327307;1,19098392846039;127;105;"TRIB3,CDK1,MAP2K6,ACACA,AKT1S1,HSP90B1,AC093012.1,CALR,PLA2G12A,THEM4,GSK3B,ARPC3,NCK1,PPP1CA,PDK1,ITPR2,UBE2N,PIK3R3,GRK2,CDK4,ARF1,PRKAA2,CAB39L,RPS6KA1,PRKAG1,MKNK2,EIF4E,ARHGDIA,CFL1,PPP2R1B,CAB39,MAP2K3,MYD88,MAPK9"
"17";"HALLMARK_BILE_ACID_METABOLISM";0,175603217158177;0,231056864681812;0,383347599174541;1,17894802807352;130;112;"AMACR,SLCO1A2,SLC27A2,BBOX1,AKR1D1,ACSL5,PAOX,HSD3B7,DIO1,SLC35B2,CYP39A1,ABCA3,HSD17B4,HSD17B11,ABCA2,TTR,SLC27A5,DHCR24,ACSL1,ALDH1A1,GC,ABCA9"
"18";"HALLMARK_PEROXISOME";0,275537634408602;0,353253377446926;0,360805285836219;1,10400276914051;204;104;"TOP2A,SLC27A2,CADM1,ACSL5,PABPC1,HSD3B7,DIO1,ECI2,SLC35B2,HSD17B4,HSD17B11,TTR,ALB,MSH2,CDK7,SMARCC1,SLC25A19,DHCR24,ELOVL5,ACSL1,NUDT19,ALDH1A1,SLC25A17"
"19";"HALLMARK_XENOBIOTIC_METABOLISM";0,325552825552826;0,387562887562888;0,325033280402252;1,06789214337656;264;200;"ACSM1,TDO2,DDC,FBP1,PYCR1,TYR,ENTPD5,APOE,UGDH,RAP1GAP,PDLIM5,MCCC2,CYP2J2,SHMT2,CYB5A,GAD1,TMEM97,CYFIP2,BPHL,SMOX,MAOA,DDT,PROS1,PTGR1,TKFC,GCH1,ANGPTL3,ASL,CNDP2,ELOVL5,AHCY,GART,SSR3,AKR1C3,NFS1,SERPINE1,DCXR,CASP6,PTS,HES6,DHRS7,CA2,VNN1,PGD,SLC35B1,HPRT1,MTHFD1,ACP1"
"20";"HALLMARK_ALLOGRAFT_REJECTION";0,492628992628993;0,557053009883199;0,302768083049999;0,994740159389649;400;200;"HLA-DMB,GCNT1,CDKN2A,F2R,NME1,CCL11,INHBA,IL12B,RPL39,RIPK2,C2,TPD52,NPM1,GALNT1,RPS19,RPS3A,MRPL3,IL11,CD80,IFNGR2,CCL4,LY86,CXCL9,EIF3J,EIF5A,MTIF2,RPL9,CCL22,RPS9,ICAM1,NCK1,CSK,IL7,UBE2N,IGSF6,ABCE1,DEGS1,EIF3A"
"21";"HALLMARK_PROTEIN_SECRETION";0,485175202156334;0,557053009883199;0,32527265866659;0,984885612831511;359;96;"ICA1,KRT18,TPD52,COPB2,ARFGAP3,TOM1L1,SGMS1,TMED2,SCAMP3,CLCN3,COPE,COPB1,GOLGA4,LMAN1,VAMP7,ARF1,ABCA1,SEC24D,RAB5A,AP2S1,CLTA,RER1,USO1,CTSC,ATP1A1,SEC22B,BET1,YKT6,PPT1,TMED10,ARFGEF1,CLTC,TSPAN8,TMX1,ERGIC3,SOD1,ZW10,ATP7A,GLA,SEC31A,ARCN1,TSG101,RPS6KA3,RAB2A,YIPF6"
"22";"HALLMARK_INFLAMMATORY_RESPONSE";0,583538083538084;0,62078519525328;0,290182940619875;0,95339185589355;474;200;"HPN,FFAR2,ROS1,CXCL11,OLR1,MYC,INHBA,IL12B,RIPK2,F3,SLC7A1,SLC4A4,SCN1B,CLEC5A,MSR1,RNF144B,TNFSF10,ATP2C1,GCH1,P2RX4,SLC31A2,IFNGR2,ADM,CXCL9,KLF6,APLNR,CCL22,KCNMB2,SERPINE1,ICAM1,FZD5,C3AR1,CCRL2,SGMS2,CXCL10,IFNAR1,EBI3"
"23";"HALLMARK_HEME_METABOLISM";0,597051597051597;0,621928746928747;0,288515286710683;0,947912803086117;485;200;"TYR,SLC7A11,RAP1GAP,MBOAT2,ADD2,BCAM,ASNS,SMOX,TRIM58,PDZK1IP1,HMBS,EIF2AK1,NUDT4,ATG4A,EPB41,KDM7A,PSMD9,E2F2,ADIPOR1,ALDH1L1,PGLS,NARF,RANBP10,CPOX,CLCN3,DCUN1D1,OSBP2,ALDH6A1,GYPB,CA2,ABCB6,TOP1,SDCBP,SLC25A38,GDE1,PRDX2,TCEA1,XK,HTATIP2,FBXO9,CA1,DCAF11,RHCE,MAP2K3,TFRC,HDGF,H1-0,TSPO2,SLC6A8,ISCA1,PICALM,HBQ1,BACH1,LPIN2,BMP2K,ENDOD1"
